Categories,Precision,Recall,F1,Count
tumour_debulking,0.426,0.449,0.437,10364
dissection_medial,0.504,0.441,0.471,13821
dissection_inferior,0.416,0.621,0.498,15390
dissection_superior,0.42,0.241,0.307,2386
dissection_lateral,0.402,0.239,0.299,2744
