Categories,Precision,Recall,F1,Count
tumour_debulking,0.621,0.434,0.511,6754
dissection_medial,0.526,0.365,0.431,10151
dissection_inferior,0.52,0.515,0.517,10953
dissection_superior,0.305,0.473,0.371,7487
dissection_lateral,0.31,0.567,0.401,10679
