Categories,Precision,Recall,F1,Count
tumour_debulking,0.697,0.447,0.545,6204
dissection_medial,0.507,0.534,0.52,15371
dissection_inferior,0.525,0.678,0.592,14291
dissection_superior,0.326,0.302,0.313,4482
dissection_lateral,0.462,0.449,0.455,5676
