Categories,Precision,Recall,F1,Count
tumour_debulking,0.433,0.607,0.506,13566
dissection_medial,0.463,0.555,0.505,17526
dissection_inferior,0.334,0.285,0.307,9454
dissection_superior,0.074,0.023,0.036,1521
dissection_lateral,0.572,0.387,0.462,3957
