Categories,Precision,Recall,F1,Count
tumour_debulking,0.424,0.612,0.501,3294
dissection_medial,0.328,0.471,0.387,3273
dissection_inferior,0.429,0.469,0.448,2498
dissection_superior,0.402,0.226,0.29,1285
dissection_lateral,0.723,0.339,0.462,1070
