Wall time,Step,Value,Run,Tag
1694160923.2479966,2,0.39409464597702026,original_runs_adj_weights_no_dropout,validation f1 epoch
1694161557.7630208,3,0.39454132318496704,original_runs_adj_weights_no_dropout,validation f1 epoch
1694162193.353203,4,0.39707720279693604,original_runs_adj_weights_no_dropout,validation f1 epoch
1694162830.1586616,5,0.3921129107475281,original_runs_adj_weights_no_dropout,validation f1 epoch
1694163464.8786414,6,0.3833426535129547,original_runs_adj_weights_no_dropout,validation f1 epoch
1694164099.9336126,7,0.38537561893463135,original_runs_adj_weights_no_dropout,validation f1 epoch
1694164735.8183537,8,0.38941463828086853,original_runs_adj_weights_no_dropout,validation f1 epoch
1694165370.5272348,9,0.39118289947509766,original_runs_adj_weights_no_dropout,validation f1 epoch
1694166005.6474743,10,0.39022403955459595,original_runs_adj_weights_no_dropout,validation f1 epoch
1694166642.7669442,11,0.39392390847206116,original_runs_adj_weights_no_dropout,validation f1 epoch
1694167277.6318746,12,0.39128273725509644,original_runs_adj_weights_no_dropout,validation f1 epoch
1694167912.734637,13,0.38264384865760803,original_runs_adj_weights_no_dropout,validation f1 epoch
1694168552.1881177,14,0.3926476836204529,original_runs_adj_weights_no_dropout,validation f1 epoch
1694169187.4309206,15,0.39040297269821167,original_runs_adj_weights_no_dropout,validation f1 epoch
1694169822.8355477,16,0.3907419443130493,original_runs_adj_weights_no_dropout,validation f1 epoch
1694170459.0873587,17,0.3955419957637787,original_runs_adj_weights_no_dropout,validation f1 epoch
1694171095.3325484,18,0.3853563368320465,original_runs_adj_weights_no_dropout,validation f1 epoch
1694171730.8812978,19,0.3865041434764862,original_runs_adj_weights_no_dropout,validation f1 epoch
1694159652.1181765,0,1.6595001220703125,original_runs_adj_weights_no_dropout,validation loss epoch 
1694160286.8879466,1,1.9918595552444458,original_runs_adj_weights_no_dropout,validation loss epoch 
1694160923.2480204,2,2.231682062149048,original_runs_adj_weights_no_dropout,validation loss epoch 
1694161557.7630453,3,2.4595677852630615,original_runs_adj_weights_no_dropout,validation loss epoch 
1694162193.3532283,4,2.648096799850464,original_runs_adj_weights_no_dropout,validation loss epoch 
1694162830.1586857,5,2.8057847023010254,original_runs_adj_weights_no_dropout,validation loss epoch 
1694163464.8786657,6,2.894359588623047,original_runs_adj_weights_no_dropout,validation loss epoch 
1694164099.9336367,7,2.9738848209381104,original_runs_adj_weights_no_dropout,validation loss epoch 
1694164735.818382,8,2.9466166496276855,original_runs_adj_weights_no_dropout,validation loss epoch 
1694165370.5272596,9,2.9698500633239746,original_runs_adj_weights_no_dropout,validation loss epoch 
1694166005.6474977,10,3.0074234008789062,original_runs_adj_weights_no_dropout,validation loss epoch 
1694166642.7669685,11,2.975113868713379,original_runs_adj_weights_no_dropout,validation loss epoch 
1694167277.6318989,12,2.9823663234710693,original_runs_adj_weights_no_dropout,validation loss epoch 
1694167912.7346876,13,3.0766637325286865,original_runs_adj_weights_no_dropout,validation loss epoch 
1694168552.1881483,14,2.9655754566192627,original_runs_adj_weights_no_dropout,validation loss epoch 
