Categories,Precision,Recall,F1,Count
tumour_debulking,0.417,0.636,0.504,14768
dissection_medial,0.484,0.6,0.536,18112
dissection_inferior,0.406,0.27,0.325,7377
dissection_superior,0.125,0.055,0.077,2147
dissection_lateral,0.643,0.398,0.492,3620
