Categories,Precision,Recall,F1,Count
tumour_debulking,0.436,0.644,0.52,14321
dissection_medial,0.479,0.484,0.482,14743
dissection_inferior,0.394,0.401,0.398,11258
dissection_superior,0.141,0.045,0.068,1544
dissection_lateral,0.638,0.454,0.53,4158
