Categories,Precision,Recall,F1,Count
tumour_debulking,0.493,0.607,0.545,11916
dissection_medial,0.539,0.452,0.492,12236
dissection_inferior,0.547,0.562,0.554,11375
dissection_superior,0.321,0.357,0.338,5369
dissection_lateral,0.6,0.526,0.56,5128
