Categories,Precision,Recall,F1,Count
tumour_debulking,0.398,0.565,0.467,13742
dissection_medial,0.455,0.501,0.477,16089
dissection_inferior,0.485,0.405,0.441,9234
dissection_superior,0.324,0.121,0.176,1800
dissection_lateral,0.497,0.438,0.466,5159
