Categories,Precision,Recall,F1,Count
tumour_debulking,0.403,0.593,0.48,14254
dissection_medial,0.466,0.693,0.557,21723
dissection_inferior,0.433,0.21,0.282,5355
dissection_superior,0.174,0.074,0.104,2068
dissection_lateral,0.667,0.299,0.413,2624
