Categories,Precision,Recall,F1,Count
tumour_debulking,0.572,0.405,0.475,6862
dissection_medial,0.547,0.444,0.49,11838
dissection_inferior,0.502,0.56,0.53,12341
dissection_superior,0.339,0.392,0.364,5598
dissection_lateral,0.336,0.538,0.414,9385
