Categories,Precision,Recall,F1,Count
tumour_debulking,0.474,0.422,0.447,9155
dissection_medial,0.468,0.586,0.52,18405
dissection_inferior,0.41,0.612,0.491,15233
dissection_superior,0.218,0.05,0.081,1119
dissection_lateral,0.277,0.021,0.04,321
