Categories,Precision,Recall,F1,Count
tumour_debulking,0.43,0.616,0.506,13882
dissection_medial,0.514,0.42,0.462,11923
dissection_inferior,0.526,0.537,0.532,11282
dissection_superior,0.367,0.294,0.326,3862
dissection_lateral,0.488,0.423,0.453,5075
