Categories,Precision,Recall,F1,Count
tumour_debulking,0.394,0.542,0.456,13320
dissection_medial,0.449,0.527,0.485,17140
dissection_inferior,0.354,0.24,0.286,7499
dissection_superior,0.172,0.12,0.142,3370
dissection_lateral,0.535,0.429,0.476,4695
